"time","level","v1","v2","q_in","q_out","v1_cmd","v2_cmd"
122.0,392.76339112090676,0.9999999999999978,0.999985477850366,3.7999999999999914,3.190508037599698,1,1
122.5,393.0677939878207,0.9999999999999978,0.9999887260250807,3.7999999999999914,3.191754882176117,1,1
123.0,393.3715749190148,0.9999999999999978,0.9999912476793253,3.7999999999999914,3.192996410760625,1,1
123.5,393.6747364212784,0.9999999999999978,0.999993205314209,3.7999999999999914,3.194233153470543,1,1
124.0,393.97728076954326,0.9999999999999978,0.9999947250841561,3.7999999999999914,3.1954655240955043,1,1
124.5,394.27921005763454,0.9999999999999978,0.9999959049265827,3.7999999999999914,3.1966938460712275,1,1
125.0,394.58052623769,0.9999999999999978,0.9999968208732065,3.7999999999999914,3.197918372651937,1,1
125.5,394.8812311507791,0.9999999999999978,0.9999975319497018,3.7999999999999914,3.19913930257716,1,1
126.0,395.181326550688,0.9999999999999978,0.9999980839794477,3.7999999999999914,3.2003567922392686,1,1
126.5,395.48081412239543,0.9999999999999978,0.9999985125364911,3.7999999999999914,3.2015709651333393,1,1
127.0,395.7796954964269,0.9999999999999978,0.9999988452380182,3.7999999999999914,3.202781919196333,1,1
127.5,396.0779722600068,0.9999999999999978,0.9999991035240685,3.7999999999999914,3.2039897325070488,1,1
128.0,396.3756459657242,0.9999999999999978,0.99999930403918,3.7999999999999914,3.2051944677129622,1,1
128.5,396.672718138267,0.9999999999999978,0.9999994597050004,3.7999999999999914,3.206396175468335,1,1
129.0,396.9691902796565,0.9999999999999978,0.999999580552988,3.7999999999999914,3.207594897104419,1,1
129.5,397.26506387331733,0.9999999999999978,0.9999996743708602,3.7999999999999914,3.2087906667032806,1,1
130.0,397.56034038724135,0.9999999999999978,0.9999997472044535,3.7999999999999914,3.209983512708457,1,1
130.5,397.85502127645105,0.9999999999999978,0.9999998037473291,3.7999999999999914,3.2111734591758974,1,1
131.0,398.1491079849154,0.9999999999999978,0.9999998476432383,3.7999999999999914,3.212360526745532,1,1
131.5,398.44260194704265,0.9999999999999978,0.9999998817209328,3.7999999999999914,3.213544733395873,1,1
132.0,398.7355045888438,0.9999999999999978,0.9999999081764567,3.7999999999999914,3.2147260950301115,1,1
132.5,399.02781732884006,0.9999999999999978,0.9999999287146634,3.7999999999999914,3.2159046259313433,1,1
133.0,399.3195415787725,0.9999999999999978,0.9999999446590817,3.7999999999999914,3.2170803391161673,1,1
133.5,399.61067874415613,0.9999999999999978,0.9999999570372059,3.7999999999999914,3.218253246609336,1,1
134.0,399.9012302247159,0.9999999999999978,0.9999999666467103,3.7999999999999914,3.219423359657117,1,1
134.5,400.19119741472787,0.9999999999999978,0.9999999741068534,3.7999999999999914,3.220590688893035,1,1
